Country,Site,Type,Status,LoginGated,Prices,URL
Estonia,mobifon.ee,shop,discovered,no,0,https://mobifon.ee/
Estonia,mobiiliabi.ee,shop,priced,YES,28,https://mobiiliabi.ee/product-category/osad-ja-komponendid/ekraanid/apple-ekraanid/
Estonia,mobilemonsters.ee,shop,priced,YES,23,https://mobilemonsters.ee/iphone-ekraani-vahetus.html
Estonia,mobiletrade.ee,shop,discovered,no,0,https://www.mobiletrade.ee/
Estonia,mobipunkt.ee,shop,discovered,no,0,https://www.mobipunkt.ee/hooldus-remont
Estonia,mobishop.ee,shop,priced,YES,71,https://mobishop.ee/kategooria/varuosad/apple-varuosad/iphone-13-seeria-varuosad/iphone-13-varuosad/
Estonia,mobix.ee,shop,priced,no,5,https://mobix.ee/
Estonia,mobpartstore.ee,shop,priced,no,92,https://www.mobpartstore.ee/17-apple-iphone-telefoni-ekraanid
Estonia,nutiekspert.ee,shop,discovered,no,0,https://nutiekspert.ee/apple-remont-tartu/iphone-ekraani-vahetus/
Estonia,nutiphone.ee,shop,login-gated,YES,0,https://www.nutiphone.ee/
Estonia,ounaturg.ee,buyback,priced,YES,16,https://www.ounaturg.ee/iphone
Estonia,phonetech.ee,shop,discovered,no,0,https://phonetech.ee/tootekategooria/varuosad/
Estonia,plazamobiil.ee,buyback,priced,no,10,https://www.plazamobiil.ee/et/seadmete-kokkuost
Estonia,sandman.ee,shop,discovered,no,0,https://www.sandman.ee/
Estonia,skymobile.ee,shop,login-gated,YES,0,https://epood.skymobile.ee/collections/telefoni-varuosad
Estonia,smartech.ee,shop,priced,no,3,https://www.smartech.ee/et/category/telefonid-nutikellad-tahvelarvutid-ja-e-lugerid/mobiiltelefonid-ja-tarvikud/lcd-ekraanid/
Estonia,starcom.ee,shop,login-gated,YES,0,https://starcom.ee/varuosad-ja-komponendid/telefoni-varuosad.html
Estonia,telefonideremont.ee,shop,discovered,no,0,https://telefonideremont.ee/telefoni-nutikella-tahvelarvuti-ekraani-vahetus
Estonia,telmarx.ee,shop,priced,no,1,https://telmarx.ee/tootekategooria/tooted/iphone-kaitseklaasid/
Estonia,telo24.ee,shop,priced,no,28,https://telo24.ee/iphone-ekraani-vahetus/
Estonia,tkepandimaja.ee,buyback,discovered,no,0,https://tkepandimaja.ee/telefonide-kokkuost/
Estonia,upgreat.ee,buyback,discovered,no,0,https://upgreat.ee/seadmete-tagasiost/
Estonia,yolo.ee,shop,priced,no,173,https://tartu.yolo.ee/
Europe,buybacklcds.eu,buyback,discovered,no,0,https://buybacklcds.eu/cracked-lcd-buyer/
Finland,24hshop.fi,shop,priced,no,50,https://www.24hshop.fi/puhelintarvikkeet/varaosat/iphone/
Finland,fonum.fi,buyback,priced,no,34,https://www.fonum.fi/ajankohtaista/iphone-nayton-vaihto-edullisesti
Finland,ieasyservice.fi,shop,priced,no,24,https://ieasyservice.fi
Finland,ihelp.fi,buyback,login-gated,YES,0,https://ihelp.fi/tuote-osasto/huolto-hinnasto/iphone-huolto/
Finland,itapsa.com,buyback,login-gated,YES,0,https://itapsa.com/kiertotalous-ja-vialliset-laitteet-voiko-rikkinaisen-puhelimen-kierrattaa-ja-miten-myyda-iphone-joka-ei-enaa-toimi-taydellisesti/
Finland,kilautakaverille.fi,shop,login-gated,YES,0,https://www.kilautakaverille.fi/en/iPhone
Finland,mobiilitukku.fi,shop,priced,no,10,https://mobiilitukku.fi/varaosat/apple-naytot-ja-varaosat
Finland,phonefix.fi,shop,priced,no,40,https://phonefix.fi
Finland,puhelinshop.fi,shop,priced,no,38,https://www.puhelinshop.fi/category/9/apple
Finland,suojakalvotukku.fi,shop,priced,no,15,https://www.suojakalvotukku.fi/category/916/apple-iphone-varaosat
Finland,tekniikkaosat.fi,shop,priced,no,17,https://www.tekniikkaosat.fi/kategoria/mobiilivaraosat/iphone
Finland,tokoitech.fi,shop,priced,no,16,https://www.tokoitech.fi/product/3228/apple-iphone-x-naytto-oled-rungolla
Finland,vapaakauppa.net,shop,priced,no,21,https://www.vapaakauppa.net/mobiilituotteet/naytto-varaosat/naytot-iphone.html
Finland,varimport.fi,shop,login-gated,YES,0,https://varimport.fi/
France,24hshop.fr,shop,priced,no,31,https://24hshop.fr
France,3winfoelec.fr,shop,discovered,no,0,https://www.3winfoelec.fr/
France,access2mobile.com,shop,discovered,no,0,https://www.access2mobile.com/
France,allintech.fr,shop,discovered,no,0,https://www.allintech.fr
France,allintl.fr,shop,discovered,no,0,https://www.allintl.fr/
France,alloallo.fr,shop,discovered,no,0,https://www.alloallo.fr/12-ecran-iphone
France,aswo.com,shop,discovered,no,0,https://www.aswo.com/
France,axessmobile.com,shop,discovered,no,0,https://www.axessmobile.com/
France,axesspop.com,shop,discovered,no,0,https://www.axesspop.com/
France,bblcd.fr,buyback,priced,no,31,https://bblcd.fr/
France,brico-phone.com,shop,discovered,no,0,https://www.brico-phone.com/
France,broken-lcd.com,buyback,priced,no,6,http://broken-lcd.com/
France,buybacklcds.com,buyback,discovered,no,0,https://buybacklcds.com/fr/
France,certideal.com,buyback,discovered,no,0,https://www.certideal.com/vendre
France,clappio.com,shop,discovered,no,0,https://www.clappio.com/
France,cpix.fr,shop,login-gated,YES,0,https://cpix.fr/104-iphone
France,cyoo.fr,shop,discovered,no,0,https://www.cyoo.fr/
France,da-pieces.com,shop,priced,no,30,https://da-pieces.com/
France,destockplus.com,buyback,priced,no,11,https://www.destockplus.com/acheter/c-904673-rachat-ecrans-casses-rachat-lcd.html
France,distriphone.com,shop,discovered,no,0,https://www.distriphone.com/
France,distriphone.fr,shop,discovered,no,0,https://www.distriphone.fr
France,domphone69.fr,buyback,login-gated,YES,0,https://www.domphone69.fr/
France,ecrans-telephone.com,shop,discovered,no,0,https://ecrans-telephone.com/
France,euromobilecompany.fr,shop,login-gated,YES,0,https://euromobilecompany.fr/fr/
France,excepcio.com,buyback,discovered,no,0,https://excepcio.com/74-lcd-recyclage
France,fhrparts.com,shop,priced,no,33,https://fhrparts.com
France,fixncover.fr,buyback,discovered,no,0,https://fixncover.fr/rachat-recyclage-ecrans/
France,greenpartsmobile.com,shop,discovered,no,0,https://www.greenpartsmobile.com/
France,horepa.fr,shop,priced,no,16,https://horepa.fr/fr/
France,ifixshop.fr,shop,priced,no,12,https://www.ifixshop.fr/
France,ilevante.fr,shop,priced,no,34,https://ilevante.fr
France,iservices.fr,shop,priced,no,3,https://boutique.iservices.fr/
France,ispart.eu,buyback,discovered,no,0,https://ispart.eu/
France,itp-technologie.com,shop,discovered,no,0,https://www.itp-technologie.com/grossiste-en-pieces-detachees-pour-smartphones/
France,jensmobiles.fr,shop,login-gated,YES,0,https://www.jensmobiles.fr/menu-apple-m61926.html
France,lapommediscount.com,shop,priced,no,1,https://www.lapommediscount.com/replayce-fournisseur-francais-pieces-detachees-votre-espace-pro.htm
France,lcd-iphone.fr,shop,discovered,no,0,https://www.lcd-iphone.fr
France,lcd-pascher.fr,shop,discovered,no,0,https://www.lcd-pascher.fr/
France,lcd-phone.com,shop,priced,YES,13,https://lcd-phone.com/
France,lcd2cash.com,buyback,discovered,no,0,https://www.lcd2cash.com/iphone
France,lcdrecyclingonline.com,buyback,discovered,no,0,https://lcdrecyclingonline.com/
France,lecoindugsm.com,shop,discovered,no,0,https://www.lecoindugsm.com
France,lifone.store,shop,priced,no,16,https://lifone.store/
France,love2recycle.fr,buyback,discovered,no,0,https://www.love2recycle.fr
France,macinfo.fr,shop,priced,no,1,https://macinfo.fr/pieces-detachees-apple
France,macmaniack.com,shop,discovered,no,0,https://www.macmaniack.com/fr/183-ecran-iphone
France,master-gsm.com,shop,discovered,no,0,https://www.master-gsm.com/fr/
France,mobilax.com,shop,discovered,no,0,https://www.mobilax.com/
France,mobilax.fr,shop,discovered,no,0,https://www.mobilax.fr/pieces-detachees-apple.html
France,mypart.fr,shop,login-gated,YES,0,https://www.mypart.fr/
France,ouiphone.com,buyback,login-gated,YES,0,https://ouiphone.com/reprise/telephone-casse
France,parts4phone.com,shop,priced,YES,3,https://parts4phone.com
France,paylcd.com,buyback,discovered,no,0,https://paylcd.com/en/
France,phonepartner.fr,shop,priced,no,68,https://phonepartner.fr/10-pieces-detachees-iphone
France,phonexpertpieces.com,shop,priced,no,1,https://www.phonexpertpieces.com/toutes-nos-prestations-1
France,phonilab.fr,shop,discovered,no,0,https://phonilab.fr/
France,piecegsm.com,shop,priced,no,15,https://piecegsm.com
France,pieces2iphone.fr,shop,discovered,no,0,https://www.pieces2iphone.fr/
France,pieces2mobile.com,shop,priced,no,4,https://www.pieces2mobile.com/
France,pieces2mobile.fr,shop,discovered,no,0,https://www.pieces2mobile.fr/121-ecran-iphone
France,pro.sosav.fr,shop,discovered,no,0,https://pro.sosav.fr/grossiste/
France,prophone.fr,shop,discovered,no,0,https://www.prophone.fr
France,rachatdemobile.com,buyback,discovered,no,0,https://rachatdemobile.com/
France,rebuy.fr,buyback,discovered,no,0,https://www.rebuy.fr/vendre
France,recommerce.com,buyback,priced,no,3,https://recommerce.com/fr/
France,recyclelife.fr,buyback,discovered,no,0,https://www.recyclelife.fr/
France,recyclemonlcd.com,buyback,priced,no,11,https://www.recyclemonlcd.com/
France,reflexmagasin.com,shop,priced,no,1,https://reflexmagasin.com/
France,repar-iphone.fr,shop,priced,no,1,https://www.repar-iphone.fr/reparation-iphone-paris/878-remplacement-ecran-iphone-13.html
France,reparation-iphone.com,shop,priced,no,5,https://reparation-iphone.com
France,repargsm.com,shop,login-gated,YES,0,https://repargsm.com/fr/3149-iphone
France,restorephone.fr,shop,priced,no,1,https://restorephone.fr/
France,rinophone.com,shop,discovered,no,0,https://www.rinophone.com/
