Site,Country,Model,RepairType,Price,Currency,ExclVAT,Login,URL
repairpartsusa.com,Austria,iPhone 14 Pro Max,glass-changed,79.99,USD,66.66,no,https://repairpartsusa.com/products/iphone-14-pro-max-premium-soft-oled-and-digitizer-glass-screen-replacement
repairpartsusa.com,Austria,iPhone 15 Pro Max,glass-changed,95.99,USD,79.99,no,https://repairpartsusa.com/products/iphone-15-pro-max-premium-soft-oled-and-glass-screen-replacement
repairpartsusa.com,Austria,iPhone XR,glass-changed,15.19,USD,12.66,no,https://repairpartsusa.com/products/iphone-xr-grade-a-black-screen-replacement
repairpartsusa.com,Austria,iPhone XS Max,glass-changed,42.39,USD,35.33,no,https://repairpartsusa.com/products/iphone-xs-max-hard-oled
repairpartsusa.com,USA,iphone 11 pro,glass-changed,19.99,USD,19.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 11 pro max,glass-changed,20.39,USD,20.39,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 12 mini,glass-changed,38.39,USD,38.39,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 12 pro,glass-changed,19.99,USD,19.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 12 pro max,glass-changed,26.79,USD,26.79,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 13,glass-changed,21.59,USD,21.59,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 13 mini,glass-changed,31.99,USD,31.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 13 pro,glass-changed,31.99,USD,31.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 13 pro max,glass-changed,31.99,USD,31.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 14,glass-changed,22.39,USD,22.39,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 14 plus,glass-changed,23.99,USD,23.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 14 pro,glass-changed,34.39,USD,34.39,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 14 pro max,glass-changed,39.99,USD,39.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 15,glass-changed,23.99,USD,23.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 15 plus,glass-changed,29.99,USD,29.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 15 pro,glass-changed,35.99,USD,35.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 15 pro max,glass-changed,41.59,USD,41.59,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 16,glass-changed,34.99,USD,34.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 16 plus,glass-changed,37.99,USD,37.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 16 pro,glass-changed,39.99,USD,39.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone 16 pro max,glass-changed,44.99,USD,44.99,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone x,glass-changed,14.79,USD,14.79,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone xr,glass-changed,15.19,USD,15.19,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone xs,glass-changed,14.79,USD,14.79,no,https://repairpartsusa.com/collections/iphone-screens
repairpartsusa.com,USA,iphone xs max,glass-changed,19.99,USD,19.99,no,https://repairpartsusa.com/collections/iphone-screens
reparation-iphone.com,France,iPhone 14 Pro Max,original,329.9,EUR,274.92,no,https://www.reparation-iphone.com/accueil/2381-ecran-apple-iphone-14-pro-max-complet-vitre-tactile-lcd-retina-original.html
reparation-iphone.com,France,iPhone 15,original,209.9,EUR,174.92,no,https://www.reparation-iphone.com/accueil/2386-ecran-iphone-15-complet-vitre-tactile-lcd-retina-original.html
repuestostic.com,Spain,iphone 12,original,2.9,EUR,2.4,no,https://www.repuestostic.com/es/repuestos-iphone-12/22314-set-tornillos-inferiores-iphone-12-pentagonal-pentalobe-original-apple-plata.html
repuestostic.com,Spain,iphone 12 pro,original,119.0,EUR,98.35,no,https://www.repuestostic.com/es/repuestos-iphone-12-pro/11436-reparacion-cambio-pantalla-original-iphone-12-12-pro.html
