Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL,CheapestForModelAtShop
celo.ro,Romania,iphone 12,refurb,119.0,RON,119.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-8-se-2-2020-se-3-2022.html,YES
celo.ro,Romania,iphone 12,refurb,119.0,RON,119.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-8-se-2-2020-se-3-2022-2193.html,no
celo.ro,Romania,iphone 12,refurb,149.0,RON,149.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-refurbished-pentru-iphone-11.html,no
celo.ro,Romania,iphone 12,refurb,169.0,RON,169.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-xr.html,no
celo.ro,Romania,iphone 12,refurb,209.0,RON,209.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-xs.html,no
celo.ro,Romania,iphone 12,refurb,239.0,RON,239.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-x.html,no
celo.ro,Romania,iphone 12,refurb,289.0,RON,289.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-refurbished-pentru-iphone-12-12-pro.html,no
celo.ro,Romania,iphone 14,refurb,399.0,RON,399.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-folosit-pentru-iphone-14.html,YES
ch-ios.ro,Romania,iphone 11,refurb,195.0,RON,195.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-11-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 11,refurb,195.0,RON,195.0,already ex-VAT,YES,https://www.ch-ios.ro/componente-109/display-cu-touchscreen-și-ramă-iphone-11-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 11 pro,refurb,380.0,RON,380.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-11-pro-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 11 pro max,refurb,392.0,RON,392.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-11-pro-max-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 12 mini,refurb,425.0,RON,425.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-12-mini-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 12 mini,refurb,425.0,RON,425.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-12-mini-oled-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 12 pro,refurb,383.0,RON,383.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-12-12-pro-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 12 pro max,refurb,685.0,RON,685.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-12-pro-max-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 12 pro max,refurb,685.0,RON,685.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-12-pro-max-oled-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 13,refurb,417.0,RON,417.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-13-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 13,refurb,417.0,RON,417.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-13-oled-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 13 mini,refurb,679.0,RON,679.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-13-mini-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 13 mini,refurb,679.0,RON,679.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-13-mini-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 13 pro,refurb,570.0,RON,570.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-13-pro-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 13 pro,refurb,570.0,RON,570.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-13-pro-oled-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 13 pro max,refurb,720.0,RON,720.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-13-pro-max-oled-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 13 pro max,refurb,720.0,RON,720.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-13-pro-max-oled-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 14,refurb,465.0,RON,465.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-14-soft-oled-1069.html,YES
ch-ios.ro,Romania,iphone 14 plus,refurb,691.0,RON,691.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-14-plus-1466.html,YES
ch-ios.ro,Romania,iphone 14 pro,refurb,800.0,RON,800.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-14-pro-aftermarket-soft-oled-1464.html,YES
ch-ios.ro,Romania,iphone 14 pro max,refurb,1216.0,RON,1216.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-14-pro-max-aftermarket-soft-oled-1468.html,YES
ch-ios.ro,Romania,iphone 15,refurb,841.0,RON,841.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-15-1617.html,YES
ch-ios.ro,Romania,iphone 15 plus,refurb,877.0,RON,877.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-15-plus.html,YES
ch-ios.ro,Romania,iphone 15 plus,refurb,877.0,RON,877.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-15-plus.html,no
ch-ios.ro,Romania,iphone 15 pro,refurb,1185.0,RON,1185.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-15-pro.html,YES
ch-ios.ro,Romania,iphone 15 pro,refurb,1185.0,RON,1185.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-15-pro.html,no
ch-ios.ro,Romania,iphone 15 pro max,refurb,1260.0,RON,1260.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-15-pro-max.html,YES
ch-ios.ro,Romania,iphone 15 pro max,refurb,1260.0,RON,1260.0,already ex-VAT,YES,https://www.ch-ios.ro/componente-109/display-cu-touchscreen-și-ramă-iphone-15-pro-max.html,no
ch-ios.ro,Romania,iphone 15 pro max,refurb,1260.0,RON,1260.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-15-pro-max.html,no
ch-ios.ro,Romania,iphone 16,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-16-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 16,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-16-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 16,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/componente-109/display-cu-touchscreen-și-ramă-iphone-16-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 16 plus,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-16-plus-original-reconditionat.html,YES
ch-ios.ro,Romania,iphone 16 plus,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/componente-109/display-cu-touchscreen-și-ramă-iphone-16-plus-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 16 plus,refurb,950.0,RON,950.0,already ex-VAT,YES,https://www.ch-ios.ro/display-uri-si-touchscreen-iphone/display-cu-touchscreen-și-ramă-iphone-16-plus-original-reconditionat.html,no
ch-ios.ro,Romania,iphone 16 pro,refurb,1220.0,RON,1220.0,already ex-VAT,YES,https://www.ch-ios.ro/display-cu-touchscreen-și-ramă-iphone-16-pro.html,YES
ch-ios.ro,Romania,iphone 16 pro,refurb,1220.0,RON,1220.0,already ex-VAT,YES,https://www.ch-ios.ro/componente-109/display-cu-touchscreen-și-ramă-iphone-16-pro.html,no
