Site,Country,Type,Model,Category,List,Login,Price,Currency,URL
mytrendyphone.eu,Denmark,shop,iphone 11 pro,aftermarket-lcd,aftermarket,YES,8.8,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone 11,aftermarket-lcd,aftermarket,YES,22.8,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
teknikdele.dk,Denmark,shop,iphone 11,aftermarket-incell,aftermarket,no,179.0,DKK,https://www.teknikdele.dk/kategori/mobilreservdelar/iphone
mytrendyphone.eu,Denmark,shop,iphone 11,unknown,aftermarket,YES,24.1,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone 15 plus,aftermarket-lcd,aftermarket,YES,34.3,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
meintrendyhandy.de,Germany,shop,iphone 12 pro,aftermarket-lcd,aftermarket,YES,22.8,EUR,https://www.meintrendyhandy.de/shop/iphone-12-iphone-12-pro-lcd-display-grad-a-354188p.html
meintrendyhandy.de,Germany,shop,iphone 14,original,A,YES,127.5,EUR,https://www.meintrendyhandy.de/shop/iphone-14-lcd-display-original-qualitat-306016p.html
meintrendyhandy.de,Germany,shop,iphone 13,unknown,aftermarket,YES,6.3,EUR,https://www.meintrendyhandy.de/shop/iphone-13-sim-karten-halter-302769p.html
meintrendyhandy.de,Germany,shop,iphone 16 pro max,aftermarket-lcd,aftermarket,YES,49.6,EUR,https://www.meintrendyhandy.de/shop/iphone-16-pro-max-lcd-display-grad-a-354002p.html
mytrendyphone.eu,Denmark,shop,iphone 15 pro max,aftermarket-lcd,aftermarket,YES,255.1,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone 16 pro,aftermarket-lcd,aftermarket,YES,49.6,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
cdx.de,Germany,shop,iphone 11 pro max,original,A,YES,36.0,EUR,https://www.cdx.de/store/IPHONE-ERSATZTEILE
meintrendyhandy.de,Germany,shop,iphone 12 mini,aftermarket-lcd,aftermarket,YES,31.8,EUR,https://www.meintrendyhandy.de/shop/iphone-12-mini-lcd-display-original-qualitat-270119p.html
fixshop.at,Austria,shop,iphone 12,unknown,aftermarket,no,8.76,EUR,https://fixshop.at/
